Plot #,Plot ID,Female Parent,Female Parent Location,Male Parent,Male Parent Location ,Location Cross (F/M),Line,Block ,Date,Time,Recorder,Photo,Wet Weight of Plot (kg),Length of Plot (m),DNA Sample,Comments,Sample 1 Wet Weight (g),Sample 1 # of Blades,Sample 2 Wet Weight (g),Sample 2 # of Blades,Sample 3 Wet Weight (g),Sample 3 # of Blades,Sample 4 Wet Weight (g),Sample 4 # of Blades,Sample 5 Wet Weight (g),Sample 5 # of Blades,# of Blades (5cm),Density (Blades/m),Sample 6 Wet Weight (g),Sample 6 # of Blades,Sample 7 Wet Weight (g),Sample 7 # of Blades,Sample 8 Wet Weight (g),Sample 8 # of Blades,Sample 9 Wet Weight (g),Sample 9 # of Blades,Sample 10 Wet Weight (g),Sample 10 # of Blades,Total Weight of sub-sample (g),Dry Weight (g),% Dry Weight,Weight per Meter (kg/m),Dry Weight Yield (kg/m),DNA in lab?,Development,Moisture (%),Protein (%),Fat (%),Fiber (%),Ash (%)
169,SL18-UCONN-169,SL18-OI-2-F3,OI,SL18-NL-2-M2,NL,OIxNL,2,4,5/29/19,,Simona,Yes,0.42,0.82,Yes,,0,0,0,0,45.9,5,36.5,3,10.4,2,10,200,25.3,1,11.6,2,,,,,,,129.7,17.22,13.28,0.512195122,0.06,y,1,,,,,
170,SL18-UCONN-170,SL18-OI-2-F3,OI,SL18-NL-9-M1,NL,OIxNL,2,8,5/29/19,10:40:00,Tricia,,0.67,0.78,Yes,Kelp not saved,0.5,1,35.3,5,0,0,24.8,2,0,0,8,160,15,3,49.3,2,,,,,,,124.9,15.21,12.18,0.858974359,0.08,y,1,,,,,
171,SL18-UCONN-171,SL18-OI-2-F3,OI,SL18-SF-15-M1,SF,OIxSF,2,7,5/29/19,10:05:00,Schery,No,0.2,0.75,Yes,Low Density (10 blades) ***Didn't allocate 10 blades to groups***,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,4.54,#DIV/0!,0.2666666667,#DIV/0!,y,1,,,,,
172,SL18-UCONN-172,SL18-OI-2-F3,OI,SL18-SF-17-M1,SF,OIxSF,4,2,5/31/19,10:34:00,Liana,Yes,1.74,0.92,Yes,,0,0,0,0,0,0,0,0,0,0,0,0,28.2,4,23.4,5,0.6,1,12.6,2,21.2,1,86,8.29,9.64,1.891304348,0.17,y,1,,,,,
173,SL18-UCONN-173,SL18-OI-4-F3,OI,SL18-SF-17-M1,SF,OIxSF,3,9,5/31/19,9:05:00,Schery,Yes,0.25,0.79,Yes,Nine blades total,0,0,0,0,0,0,0,0,0,0,0,0,5.9,1,48,1,61.5,1,43,3,13.08,3,171.48,17.17,10.01,0.3164556962,0.03,y,1,,,,,
174,SL18-UCONN-174,SL18-OI-6-F1,OI,SA18-CB-2-M1,CB,OIxCB,1,4,5/30/19,12:32:00,,Yes,0.57,1,Yes,,0,0,7.5,1,0,0,6.7,1,20,1,3,60,16.8,1,28.8,1,,,,,,,79.8,10.23,12.82,0.57,0.07,y,1,,,,,
175,SL18-UCONN-175,SL18-OI-6-F1,OI,SA18-CB-4-M1,CB,OIxCB,1,4,5/30/19,,,Yes,2.75,0.91,Yes,,42,1,9.5,2,9.2,2,0.5,2,11.1,2,9,180,,,,,,,,,,,72.3,5.00,6.92,3.021978022,0.19,y,4,,,,,
176,SL18-UCONN-176,SL18-OI-6-F1,OI,SL18-LD-13-M2,LD,OIxLD,2,3,5/29/19,19:41:00,Maggie,Yes,1.58,0.65,Yes,,0,0,0,0,126,2,138.7,3,103.5,4,9,180,123,4,31,2,,,,,,,522.2,51.71,9.90,2.430769231,0.16,y,1,8.01,12.8,0.29,10.04,33.24
177,SL18-UCONN-177,SL18-OI-6-F1,OI,SL18-LD-2-M1,LD,OIxLD,4,1,5/31/19,,Schery,Yes,2.36,0.88,Yes,,0,0,70.61,2,36.29,1,32.13,2,43.27,3,8,160,2.3,1,,,,,,,,,184.6,18.14,9.83,2.681818182,0.23,y,1,,,,,
178,SL18-UCONN-178,SL18-OI-6-F1,OI,SL18-LD-5-M1,LD,OIxLD,3,9,5/31/19,9:08:00,Maggie,Yes,3.76,0.97,Yes,,174,2,8.51,2,3.45,2,200,4,32,3,13,260,,,,,,,,,,,417.96,17.94,4.29,3.87628866,0.16,y,1,,,,,
179,SL18-UCONN-179,SL18-OI-6-F1,OI,SL18-NL-2-M1,NL,OIxNL,4,5,5/31/19,,,No,0.07,1,No,No kelp growth,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,#DIV/0!,0.07,#DIV/0!,,1,,,,,
180,SL18-UCONN-180,SL18-OI-6-F1,OI,SL18-NL-9-M1,NL,OIxNL,4,2,5/31/19,10:10:00,Simona,Yes,1.73,0.76,Yes,,59.8,3,35.5,3,0,0,0,0,0,0,6,120,27.2,2,34.5,2,49.1,2,,,,,206.1,22.40,10.87,2.276315789,0.19,y,1,,,,,
181,SL18-UCONN-181,SL18-OI-6-F1,OI,SL18-SF-15-M1,SF,OIxSF,4,3,5/31/19,10:47:00,Mayra,Yes,2.67,0.82,Yes,,2.98,2,49.01,3,2.6,1,71.9,3,38.43,2,11,220,,,,,,,,,,,164.92,14.53,8.81,3.256097561,0.24,y,1,,,,,
182,SL18-UCONN-182,SL18-OI-6-F1,OI,SL18-SF-19-M1,SF,OIxSF,4,2,5/31/19,10:42:00,Simona,Yes,1.47,0.84,Yes,Breaking down,0,0,0,0,31,4,0,0,0,0,4,80,34.6,3,101,3,46.9,6,45.6,2,,,259.1,21.30,8.22,1.75,0.12,y,1,,,,,
183,SL18-UCONN-183,SL18-OI-7-F3,OI,SA18-CB-2-M3,CB,OIxCB,3,5,5/30/19,19:13:00,Liana,Yes,1.67,0.75,Yes,,50.1,2,37.6,4,35.7,3,73.6,4,0,0,13,260,15.9,3,,,,,,,,,212.9,20.67,9.71,2.226666667,0.16,y,1,,,,,
184,SL18-UCONN-184,SL18-OI-7-F3,OI,SL18-LD-9-M1,LD,OIxLD,4,4,5/31/19,,Mayra,Yes,0.2,0.84,Yes,,0,0,0,0,0,0,0,0,0,0,0,0,0.43,1,2.26,1,3.7,1,7.19,1,33.07,1,46.65,5.99,12.84,0.2380952381,0.03,y,1,,,,,
185,SL18-UCONN-185,SL18-OI-7-F3,OI,SL18-NL-3-M2,NL,OIxNL,2,1,5/29/19,,,Yes,0.07,0.93,No,4 blades,0.119,1,0.234,1,0.925,1,0.33,1,0,0,4,80,,,,,,,,,,,1.608,0.20,12.44,0.0752688172,0.01,,1,,,,,
186,SL18-UCONN-186,SL18-OI-9-F1,OI,SL18-LL-9-M2,LL,OIxLL,2,9,5/29/19,,,Yes,2,0.85,Yes,,14.3,1,4.3,1,34.6,3,86.3,6,11.4,4,15,300,,,,,,,,,,,150.9,12.81,8.49,2.352941176,0.17,y,1,,,,,
187,SL18-UCONN-187,SL18-OI-9-F1,OI,SL18-OI-9-M3,OI,OIxOI,1,6,5/30/19,14:27:00,,Yes,0.44,0.83,Yes,,8.5,2,0.2,1,39.1,2,9,2,16.7,1,8,160,,,,,,,,,,,73.5,7.35,10.00,0.5301204819,0.04,y,1,,,,,
188,SL18-UCONN-188,SL18-SF-13-F1,SF,SL18-LD-3-M2,LD,SFxLD,3,4,5/30/19,18:42:00,Schery,Yes,0.12,1,No,One blade,0,0,0,0,0,0,0,0,0,0,0,0,38.37,1,,,,,,,,,38.37,4.80,12.51,0.12,0.02,,1,,,,,
189,SL18-UCONN-189,SL18-SF-13-F1,SF,SL18-LL-9-M3,LL,SFxLL,3,4,5/30/19,18:05:00,Michael,Yes,2.04,0.93,Yes,,38.89,1,80.69,1,0,0,37.09,1,29.8,1,4,80,45.12,1,,,,,,,,,231.59,27.83,12.02,2.193548387,0.25,y,4,,,,,
190,SL18-UCONN-190,SL18-SF-17-F1,SF,SL18-LL-9-M1,LL,SFxLL,1,9,5/30/19,15:47:00,Michelle,Yes,1.01,0.91,Yes,,0,0,4.5,2,0,0,0.4,1,4.3,1,4,80,48,5,36,2,,,,,,,93.2,9.57,10.27,1.10989011,0.10,y,1,,,,,
191,SL18-UCONN-191,SL18-SF-17-F1,SF,SL18-SF-17-M2,SF,SFxSF,1,6,5/30/19,14:19:00,,Yes,0.1,0.855,Yes,,0,0,0,0,0,0,0,0,0,0,0,0,3.1,1,0.2,1,11.8,1,2.4,3,1.5,1,19,2.06,10.84,0.1169590643,0.01,y,1,,,,,
192,SL18-UCONN-192,SL18-SF-17-F3,SF,SA18-CB-10-M1,CB,SFxCB,1,1,5/30/19,10:14:00,,Yes,4.25,0.9,Yes,,0,0,0,0,65,8,148,13,0,0,21,420,66,2,35,2,29,3,,,,,343,25.60,7.46,4.722222222,0.32,y,4,,,,,
193,SL18-UCONN-193,SL18-SF-17-F3,SF,SA18-CB-3-M3,CB,SFxCB,1,4,5/30/19,,,Yes,1.97,0.83,Yes,,0,0,32,1,0,0,0,0,0,0,1,20,51,2,15,1,46,6,16,3,,,160,14.12,8.83,2.373493976,0.17,y,4,,,,,
194,SL18-UCONN-194,SL18-SF-17-F3,SF,SL18-LD-2-M1,LD,SFxLD,4,6,5/31/19,12:28:00,Liana,Yes,1.59,0.92,Yes,,0,0,10,3,13.8,2,77.2,6,35.8,1,12,240,28.3,4,,,,,,,,,165.1,15.33,9.29,1.72826087,0.15,y,1,,,,,
195,SL18-UCONN-195,SL18-SF-17-F3,SF,SL18-NL-10-M2,NL,SFxNL,1,8,5/30/19,,Schery,Yes,0.55,0.95,Yes,,19.78,2,0,0,29.45,2,4.53,3,1.95,1,8,160,35.85,1,,,,,,,,,91.56,10.06,10.99,0.5789473684,0.06,y,1,,,,,
196,SL18-UCONN-196,SL18-SF-17-F3,SF,SL18-NL-2-M3,NL,SFxNL,4,4,5/31/19,11:29:00,Jill,Yes,2.64,0.81,Yes,,0,0,0,0,0,0,0,0,0,0,0,0,46.6,2,74.1,6,40.1,4,2.2,1,38.3,4,201.3,17.05,8.47,3.259259259,0.22,y,4,,,,,
197,SL18-UCONN-197,SL18-SF-17-F3,SF,SL18-NL-9-M1,NL,SFxNL,4,9,5/31/19,14:32:00,Schery,,2.75,0.89,Yes,,35.5,3,1.89,2,43.7,2,22.8,3,46.4,3,13,260,,,,,,,,,,,150.29,12.85,8.55,3.08988764,0.24,y,1,,,,,
198,SL18-UCONN-198,SL18-SF-17-F3,SF,SL18-OI-7-M1,OI,SFxOI,2,9,5/29/19,16:05:00,Maggie,Yes,2.8,0.81,Yes,,48.5,8,86.4,8,22.7,2,33.4,4,30.6,3,25,500,,,,,,,,,,,221.6,18.50,8.35,3.456790123,0.23,y,1,,,,,
199,SL18-UCONN-199,SL18-SF-17-F3,SF,SL18-OI-9-M3,OI,SFxOI,2,9,5/29/19,16:12:00,Tricia,Yes,2.88,0.8,Yes,,47.8,4,21,2,24.9,5,170.7,8,0,0,19,380,26,4,,,,,,,,,290.4,26.60,9.16,3.6,0.26,y,1,,,,,
200,SL18-UCONN-200,SL18-SF-18-F1,SF,SL18-LL-9-M3,LL,SFxLL,4,7,5/31/19,,,No,0.07,1,No,No kelp growth,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,#DIV/0!,0.07,#DIV/0!,,1,,,,,
201,SL18-UCONN-201,SL18-SF-18-F2,SF,SL18-SF-13-M1,SF,SFxSF,3,2,5/30/19,,Schery,Yes,0.2,0.69,No,,0,0,0,0,0,0,0,0,0,0,0,0,24,1,8.94,1,2.89,1,2.41,1,7.84,1,46.08,5.68,12.33,0.2898550725,0.02,,1,,,,,
C1-A,SL18-UCONN-C1-A,,,,,,2,8,5/29/19,11:42:00,Maggie,Yes,2.71,0.86,Yes,,11.3,1,117.3,6,2.18,10,67.1,2,82.5,5,24,480,,,,,,,,,,,280.38,30.74,10.96,3.151162791,0.30,y,,,,,,
C1-B,SL18-UCONN-C1-B,,,,,,2,2,5/29/19,14:36:00,Tricia,Yes,2.09,0.56,Yes,,90.3,5,34.3,2,59.2,3,0,0,0,0,10,200,33.5,3,98,5,,,,,,,315.3,43.77,13.88,3.732142857,0.29,y,,,,,,
C1-C,SL18-UCONN-C1-C,,,,,,2,4,5/29/19,17:30:00,Maggie,Yes,3.87,0.9,Yes,,87,2,52,3,42,8,63,5,75,6,24,480,,,,,,,,,,,319,25.82,8.09,4.3,0.31,y,,,,,,
C1-D,SL18-UCONN-C1-D,,,,,,1,5,5/30/19,,,Yes,1.15,0.85,Yes,,0.56,2,13.75,4,0,0,2.03,1,0,0,7,140,57.48,4,57.19,3,,,,,,,131.01,11.92,9.10,1.352941176,0.10,y,,,,,,
C1-E,SL18-UCONN-C1-E,,,,,,1,8,5/30/19,,,Yes,2.02,0.94,Yes,Hole punches,29,3,11.36,2,55.3,4,24.3,3,4.38,1,13,260,,,,,,,,,,,124.34,10.26,8.25,2.14893617,0.17,y,,,,,,
C1-F,SL18-UCONN-C1-F,,,,,,3,1,5/30/19,16:39:00,Michelle,Yes,4.41,0.87,Yes,,87.7,6,92.9,5,87.1,4,0,0,0,0,15,300,82.7,3,112.9,3,,,,,,,463.3,43.14,9.31,5.068965517,0.41,y,,,,,,
C1-G,SL18-UCONN-C1-G,,,,,,4,6,5/31/19,12:15:00,Jon,Yes,2.64,0.8,Yes,,20.6,1,43,2,20.5,3,47.5,6,0,0,12,240,60,3,,,,,,,,,191.6,14.81,7.73,3.3,0.20,y,,,,,,
C1-H,SL18-UCONN-C1-H,,,,,,4,7,5/31/19,13:00:00,Maggie,Yes,3.67,0.84,No,360 video for this one,33.11,1,15.72,3,45.74,4,15.63,3,60.15,2,13,260,,,,,,,,,,,170.35,17.38,10.20,4.369047619,0.37,,,,,,,
C1-I,SL18-UCONN-C1-I,,,,,,4,9,5/31/19,14:15:00,Michelle,Yes,3.65,0.84,Yes,,3.5,2,26.3,2,29.9,9,83.6,4,11.1,4,21,420,,,,,,,,,,,154.4,13.28,8.60,4.345238095,0.31,y,,,,,,
C1-J,SL18-UCONN-C1-J,,,,,,4,3,5/31/19,11:05:00,Jon,Yes,2.34,0.71,Yes,Hole punch,27.2,1,64.7,7,55.2,7,33.3,9,111.3,9,33,660,,,,,,,,,,,291.7,27.33,9.37,3.295774648,0.22,y,,,,,,
C2-A,SL18-UCONN-C2-A,,,,,,2,3,5/29/19,20:00:00,Tricia,Yes,1.75,0.87,Yes,,7.6,2,47.4,2,2.5,1,2.2,1,181.5,6,12,240,,,,,,,,,,,241.2,23.97,9.94,2.011494253,0.17,y,,,,,,
C2-B,SL18-UCONN-C2-B,,,,,,1,9,5/30/19,15:45:00,Liana,Yes,1.56,0.89,Yes,Hole Punch,0,0,1.9,2,0,0,0,0,0,0,2,40,57.8,2,93.8,2,140,4,96.3,3,,,389.8,40.71,10.44,1.752808989,0.16,y,,,,,,
C2-C,SL18-UCONN-C2-C,,,,,,3,1,5/30/19,16:31:00,Schery,Yes,0.29,0.82,No,,0,0,0,0,0,0,0,0,12.03,1,1,20,5.88,1,7.56,1,24.85,1,59.8,1,,,110.12,16.40,14.89,0.3536585366,0.04,,,,,,,
C2-D,SL18-UCONN-C2-D,,,,,,3,5,5/30/19,19:09:00,Michael,Yes,2.83,1.05,Yes,,0,0,178.34,1,150.3,2,10,2,92.72,3,8,160,160.4,10,,,,,,,,,591.76,46.20,7.81,2.695238095,0.22,y,,,,,,
C2-E,SL18-UCONN-C2-E,,,,,,3,7,5/31/19,8:18:00,Michael,Yes,2.5,0.87,Yes,,2.35,1,0,0,188,4,176.18,3,82,2,10,200,24.46,1,,,,,,,,,472.99,23.50,4.97,2.873563218,0.12,y,,,,,,
C2-F,SL18-UCONN-C2-F,,,,,,3,8,5/31/19,8:36:00,Schery,,2.36,0.82,No,,3.81,1,23.5,1,24.81,1,72.23,2,11.8,1,6,120,,,,,,,,,,,136.15,13.90,10.21,2.87804878,0.24,,,,,,,
C2-G,SL18-UCONN-C2-G,,,,,,4,2,5/31/19,10:14:00,Jon,Yes,3.06,0.87,Yes,,26.8,2,16.3,1,74.8,3,6.9,3,86.9,2,11,220,,,,,,,,,,,211.7,20.79,9.82,3.517241379,0.30,y,,,,,,
C2-H,SL18-UCONN-C2-H,,,,,,4,4,5/31/19,11:23:00,Jon,Yes,1.15,0.84,Yes,,84.5,2,56.3,2,113.8,3,1,1,1,1,9,180,,,,,,,,,,,256.6,28.03,10.92,1.369047619,0.13,y,,,,,,
C2-I,SL18-UCONN-C2-I,,,,,,4,6,5/31/19,,Mayra,Yes,0.31,0.58,No,,0,0,0,0,0,0,0,0,0,0,0,0,4.76,1,76.36,1,54.93,1,4.03,2,4.41,1,144.49,20.52,14.20,0.5344827586,0.04,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,
